"","names","total"
"1","of the",128792
"2","in the",122735
"3","for the",68757
"4","to the",67710
"5","on the",64221
"6","to be",58957
"7","at the",44504
"8","i have",39612
"9","and the",38553
"10","i was",37962
"11","is a",37470
"12","in a",36439
"13","i am",36001
"14","and i",35807
"15","it was",35282
"16","it is",33314
"17","for a",33010
"18","with the",32722
"19","if you",32023
"20","have a",30157
"21","going to",30008
"22","is the",28114
"23","will be",27666
"24","to get",27055
"25","from the",26552
"26","i dont",25762
"27","want to",25159
"28","with a",25110
"29","that i",24845
"30","one of",24622
"31","of a",24422
"32","i love",23996
"33","i think",23641
"34","have to",23609
"35","this is",23511
"36","to see",22658
"37","but i",22447
"38","thanks for",22440
"39","to do",22172
"40","all the",21262
"41","of my",20710
"42","you are",20123
"43","as a",19957
"44","you can",19840
"45","out of",19654
"46","in my",19430
"47","thank you",19238
"48","was a",19173
"49","when i",19076
"50","i can",18425
"51","need to",18329
"52","i had",18212
"53","by the",17858
"54","the same",17642
"55","i know",17637
"56","a great",17565
"57","that the",17552
"58","you have",17439
"59","and a",17341
"60","be a",17306
"61","on a",16945
"62","a few",16812
"63","to make",16803
"64","i just",16710
"65","the first",16597
"66","to go",16346
"67","a lot",16305
"68","to a",16222
"69","a little",16039
"70","we are",15895
"71","a good",15783
"72","the best",15599
"73","i will",15535
"74","have been",15508
"75","so i",15229
"76","would be",14884
"77","do you",14783
"78","to have",14597
"79","so much",14459
"80","they are",14404
"81","on my",14185
"82","that is",14183
"83","had a",14154
"84","there is",14013
"85","about the",13946
"86","are you",13719
"87","i would",13496
"88","like a",13434
"89","i cant",13177
"90","is not",13027
"91","the world",12967
"92","if i",12781
"93","you know",12650
"94","has been",12477
"95","we have",12195
"96","to me",12078
"97","i want",12043
"98","into the",11900
"99","for me",11865
"100","there are",11779
"101","as the",11666
"102","and then",11610
"103","all of",11525
"104","trying to",11442
"105","when you",11400
"106","he was",11249
"107","to my",11215
"108","back to",11189
"109","a new",11126
"110","the most",11097
"111","im not",10770
"112","the way",10656
"113","i could",10644
"114","its a",10613
"115","go to",10606
"116","time to",10604
"117","right now",10558
"118","what i",10401
"119","is that",10278
"120","as well",10177
"121","with my",10104
"122","the new",10089
"123","part of",10074
"124","lot of",10000
"125","me to",9991
"126","able to",9973
"127","i need",9905
"128","more than",9868
"129","the other",9858
"130","as i",9852
"131","i got",9851
"132","at least",9849
"133","and it",9760
"134","was the",9710
"135","some of",9668
"136","can be",9652
"137","the time",9621
"138","way to",9619
"139","in this",9593
"140","over the",9512
"141","i do",9503
"142","cant wait",9321
"143","the last",9205
"144","of this",9123
"145","that you",9071
"146","of course",9038
"147","to say",9022
"148","up to",9003
"149","a bit",8984
"150","for you",8957
"151","the day",8922
"152","i didnt",8916
"153","had to",8914
"154","to take",8836
"155","the next",8775
"156","i hope",8744
"157","should be",8646
"158","that was",8644
"159","the only",8625
"160","for my",8571
"161","kind of",8511
"162","but the",8497
"163","love you",8359
"164","get a",8318
"165","he is",8255
"166","be the",8242
"167","of our",8192
"168","how to",8189
"169","to you",8162
"170","but it",8152
"171","like to",8100
"172","i feel",8005
"173","dont know",7994
"174","like the",7990
"175","you dont",7980
"176","at a",7934
"177","the end",7898
"178","i thought",7812
"179","it to",7721
"180","are the",7654
"181","i did",7640
"182","i like",7636
"183","i get",7626
"184","of your",7609
"185","you to",7584
"186","you want",7555
"187","what you",7545
"188","forward to",7505
"189","not a",7501
"190","in your",7487
"191","has a",7481
"192","they were",7408
"193","its not",7391
"194","that we",7390
"195","wanted to",7331
"196","last night",7312
"197","we can",7211
"198","have the",7199
"199","me and",7196
"200","to work",7178
"201","such a",7169
"202","that it",7150
"203","see you",7129
"204","of his",7082
"205","up with",7050
"206","what is",7047
"207","and we",7034
"208","you will",7019
"209","to find",6996
"210","i really",6978
"211","out the",6951
"212","this week",6892
"213","which is",6847
"214","and you",6792
"215","of them",6773
"216","of you",6741
"217","we were",6735
"218","of it",6727
"219","know what",6712
"220","would have",6704
"221","my life",6703
"222","do it",6696
"223","through the",6676
"224","is it",6651
"225","make it",6640
"226","is to",6630
"227","ive been",6623
"228","because i",6619
"229","that he",6607
"230","do not",6604
"231","and that",6580
"232","up and",6580
"233","you for",6492
"234","out to",6463
"235","when the",6461
"236","up the",6435
"237","let me",6396
"238","from a",6393
"239","did you",6380
"240","this year",6367
"241","it would",6359
"242","there was",6300
"243","about it",6253
"244","not to",6250
"245","it will",6236
"246","that they",6193
"247","she was",6178
"248","a very",6142
"249","follow me",6130
"250","to know",6127
"251","for your",6107
"252","it and",6096
"253","is so",6093
"254","end of",6089
"255","just a",6070
"256","get to",6051
"257","a couple",6044
"258","see the",6040
"259","got a",6039
"260","with you",6038
"261","me i",6019
"262","into a",6015
"263","used to",6010
"264","for this",6002
"265","i hate",6000
"266","make a",5994
"267","to come",5974
"268","you and",5956
"269","dont have",5903
"270","to keep",5882
"271","looking for",5872
"272","and my",5812
"273","on your",5775
"274","on this",5763
"275","they have",5752
"276","you think",5743
"277","to all",5719
"278","look at",5692
"279","in his",5667
"280","time i",5666
"281","know that",5650
"282","at all",5640
"283","of their",5631
"284","check out",5624
"285","of all",5620
"286","a big",5612
"287","try to",5611
"288","to help",5608
"289","feel like",5605
"290","hope you",5601
"291","love to",5580
"292","is going",5552
"293","most of",5552
"294","so many",5544
"295","in our",5534
"296","you get",5531
"297","lots of",5528
"298","wait to",5492
"299","me a",5479
"300","of us",5470
"301","we will",5464
"302","to hear",5443
"303","is an",5439
"304","you do",5436
"305","and its",5430
"306","the one",5423
"307","i wish",5421
"308","not the",5414
"309","im going",5411
"310","get the",5397
"311","are not",5391
"312","is in",5391
"313","i guess",5370
"314","it in",5360
"315","and they",5348
"316","to give",5338
"317","looking forward",5332
"318","take a",5330
"319","what a",5294
"320","now i",5269
"321","you guys",5264
"322","around the",5260
"323","the right",5258
"324","with me",5251
"325","could be",5215
"326","and im",5212
"327","ill be",5185
"328","is my",5182
"329","to your",5161
"330","a long",5147
"331","we had",5132
"332","for all",5131
"333","off the",5128
"334","of those",5126
"335","no one",5122
"336","be in",5116
"337","are a",5109
"338","she is",5079
"339","this morning",5074
"340","you need",5073
"341","if the",5072
"342","and he",5071
"343","to use",5058
"344","the rest",5057
"345","by a",5040
"346","the whole",5032
"347","ready to",5023
"348","up in",5000
"349","been a",4975
"350","it i",4973
"351","it has",4965
"352","people who",4962
"353","to start",4931
"354","you should",4902
"355","have you",4898
"356","love the",4898
"357","my favorite",4879
"358","think i",4871
"359","this weekend",4842
"360","come to",4809
"361","may be",4804
"362","of these",4804
"363","how much",4776
"364","it out",4770
"365","went to",4735
"366","thanks to",4719
"367","because of",4694
"368","who is",4689
"369","too much",4686
"370","about to",4683
"371","having a",4681
"372","back in",4665
"373","in their",4644
"374","im a",4640
"375","during the",4638
"376","be able",4633
"377","when we",4631
"378","and not",4626
"379","did not",4605
"380","what the",4599
"381","it all",4592
"382","the past",4592
"383","couple of",4580
"384","up on",4575
"385","out there",4572
"386","after the",4571
"387","i see",4543
"388","was in",4532
"389","im so",4531
"390","of her",4511
"391","those who",4505
"392","he has",4491
"393","happy birthday",4462
"394","need a",4460
"395","up for",4455
"396","you were",4454
"397","so far",4451
"398","and in",4450
"399","love it",4448
"400","instead of",4447
"401","of that",4446
"402","then i",4446
"403","i still",4443
"404","the people",4416
"405","not be",4412
"406","new york",4397
"407","if they",4396
"408","is no",4391
"409","ready for",4382
"410","if youre",4367
"411","had been",4364
"412","time for",4350
"413","the game",4339
"414","them to",4338
"415","rest of",4316
"416","in and",4310
"417","i should",4308
"418","but its",4303
"419","enough to",4303
"420","if it",4302
"421","the book",4301
"422","i miss",4299
"423","out and",4296
"424","for some",4294
"425","when it",4288
"426","looks like",4284
"427","get it",4283
"428","and to",4279
"429","the top",4272
"430","the house",4269
"431","decided to",4267
"432","he said",4267
"433","my own",4257
"434","hard to",4254
"435","can you",4252
"436","is one",4245
"437","well as",4236
"438","might be",4222
"439","to watch",4216
"440","the follow",4203
"441","you cant",4196
"442","i saw",4191
"443","the fact",4186
"444","but im",4178
"445","to this",4173
"446","wish i",4173
"447","have no",4170
"448","like that",4163
"449","good morning",4158
"450","and his",4150
"451","do i",4144
"452","is just",4135
"453","to our",4133
"454","a day",4113
"455","when he",4109
"456","this was",4106
"457","to play",4105
"458","know how",4104
"459","it up",4103
"460","listening to",4096
"461","according to",4089
"462","i wanted",4087
"463","first time",4078
"464","at pm",4075
"465","than the",4072
"466","this time",4066
"467","and all",4046
"468","does not",4040
"469","dont want",4037
"470","talking about",4036
"471","must be",4034
"472","like it",4025
"473","when they",4024
"474","i havent",4021
"475","so that",4021
"476","you like",4021
"477","in an",4017
"478","was not",4015
"479","make sure",4009
"480","its the",4006
"481","got to",4005
"482","we need",3994
"483","on twitter",3984
"484","away from",3977
"485","as it",3976
"486","i used",3974
"487","working on",3968
"488","you all",3953
"489","each other",3946
"490","the th",3940
"491","just got",3937
"492","who are",3936
"493","a while",3934
"494","that would",3934
"495","was so",3899
"496","from my",3897
"497","as you",3879
"498","going on",3874
"499","a year",3870
"500","in that",3868
"501","to meet",3857
"502","with your",3855
"503","better than",3851
"504","not sure",3847
"505","fact that",3844
"506","my mom",3842
"507","down the",3838
"508","this one",3832
"509","for our",3825
"510","can do",3819
"511","as we",3813
"512","such as",3812
"513","to it",3809
"514","to put",3808
"515","think of",3796
"516","all i",3791
"517","will have",3791
"518","my first",3789
"519","am i",3788
"520","and have",3788
"521","you in",3779
"522","is on",3776
"523","tell me",3773
"524","like i",3771
"525","say that",3764
"526","if we",3759
"527","dont think",3736
"528","but not",3735
"529","i found",3726
"530","you a",3724
"531","i went",3723
"532","years ago",3720
"533","on it",3718
"534","at this",3699
"535","day of",3698
"536","that are",3698
"537","he had",3693
"538","it a",3693
"539","to try",3691
"540","are so",3687
"541","for that",3680
"542","like this",3676
"543","needs to",3676
"544","makes me",3674
"545","and so",3673
"546","know i",3673
"547","i also",3664
"548","with this",3662
"549","the us",3660
"550","the story",3648
"551","it on",3645
"552","of what",3632
"553","and get",3628
"554","for an",3623
"555","not only",3623
"556","about a",3622
"557","i never",3622
"558","a week",3619
"559","all my",3603
"560","as much",3597
"561","to read",3592
"562","so we",3586
"563","for it",3585
"564","is what",3583
"565","the word",3582
"566","i mean",3569
"567","bit of",3556
"568","up a",3544
"569","you could",3536
"570","of people",3533
"571","time and",3524
"572","to tell",3520
"573","and is",3519
"574","before the",3513
"575","or the",3507
"576","the year",3503
"577","my new",3500
"578","how many",3489
"579","me that",3487
"580","last year",3484
"581","can i",3480
"582","tell you",3480
"583","that she",3480
"584","of an",3478
"585","where i",3474
"586","wants to",3471
"587","down to",3461
"588","or a",3459
"589","good luck",3456
"590","to share",3453
"591","with her",3444
"592","we all",3442
"593","all day",3438
"594","that a",3438
"595","and more",3437
"596","the second",3437
"597","on his",3430
"598","where the",3428
"599","had the",3427
"600","it for",3425
"601","the city",3421
"602","their own",3421
"603","make the",3420
"604","at my",3419
"605","was just",3419
"606","but you",3404
"607","i made",3403
"608","to think",3393
"609","a man",3392
"610","to look",3389
"611","are in",3388
"612","what are",3387
"613","what we",3381
"614","the show",3378
"615","and now",3372
"616","and if",3370
"617","off to",3360
"618","and she",3356
"619","being a",3356
"620","in fact",3353
"621","a small",3352
"622","there were",3352
"623","after a",3351
"624","that will",3351
"625","even though",3350
"626","talk about",3349
"627","number of",3348
"628","theres a",3346
"629","a nice",3336
"630","to her",3335
"631","us to",3334
"632","is still",3328
"633","to talk",3322
"634","what do",3322
"635","i knew",3310
"636","even if",3304
"637","with it",3303
"638","all that",3300
"639","i said",3291
"640","listen to",3289
"641","out for",3287
"642","as an",3286
"643","me in",3283
"644","that this",3279
"645","have an",3276
"646","due to",3271
"647","what they",3269
"648","has to",3266
"649","to win",3265
"650","on that",3261
"651","as they",3260
"652","many of",3258
"653","to follow",3243
"654","you see",3238
"655","life is",3234
"656","on to",3223
"657","on our",3221
"658","but we",3214
"659","think about",3213
"660","to his",3208
"661","its been",3204
"662","can get",3202
"663","for her",3193
"664","next week",3192
"665","of me",3187
"666","the big",3186
"667","should have",3184
"668","in her",3183
"669","full of",3180
"670","excited to",3175
"671","how i",3174
"672","is this",3173
"673","wait for",3173
"674","before i",3169
"675","seems to",3167
"676","mothers day",3153
"677","do the",3145
"678","to write",3136
"679","waiting for",3133
"680","you just",3129
"681","a huge",3128
"682","supposed to",3122
"683","last week",3113
"684","with his",3110
"685","think that",3109
"686","will not",3108
"687","under the",3103
"688","but they",3102
"689","talk to",3099
"690","the two",3099
"691","gonna be",3086
"692","than a",3086
"693","on their",3084
"694","for us",3079
"695","him to",3072
"696","in order",3071
"697","and how",3055
"698","live in",3054
"699","the night",3054
"700","because it",3051
"701","your own",3050
"702","and what",3049
"703","me know",3029
"704","you so",3028
"705","out in",3026
"706","here in",3021
"707","seem to",3016
"708","to stop",3016
"709","today i",3016
"710","about this",3010
"711","im sure",3008
"712","miss you",3007
"713","sort of",3007
"714","is now",3005
"715","be on",3004
"716","my mind",3003
"717","with all",3003
"718","one day",3000
"719","what it",2999
"720","you too",2997
"721","my head",2993
"722","told me",2986
"723","with an",2986
"724","why i",2985
"725","well i",2982
"726","people are",2981
"727","would like",2979
"728","and this",2976
"729","was going",2965
"730","yes i",2963
"731","high school",2962
"732","which i",2962
"733","at home",2956
"734","with that",2955
"735","and other",2954
"736","to live",2953
"737","front of",2948
"738","would you",2944
"739","good to",2942
"740","the more",2939
"741","along with",2938
"742","my heart",2936
"743","and for",2934
"744","since i",2931
"745","could have",2929
"746","the middle",2928
"747","do with",2924
"748","you would",2922
"749","they can",2914
"750","it but",2908
"751","know the",2906
"752","with some",2903
"753","would love",2903
"754","i always",2902
"755","chance to",2901
"756","in it",2895
"757","look like",2891
"758","day to",2890
"759","the future",2888
"760","that there",2887
"761","rather than",2886
"762","here is",2883
"763","they will",2883
"764","me the",2880
"765","the kids",2880
"766","the s",2877
"767","all over",2875
"768","if he",2870
"769","tried to",2867
"770","we do",2864
"771","be there",2863
"772","can see",2861
"773","across the",2860
"774","but he",2860
"775","do that",2857
"776","my friends",2857
"777","any of",2853
"778","im in",2853
"779","in love",2846
"780","a time",2845
"781","that one",2842
"782","in one",2840
"783","or not",2837
"784","my friend",2836
"785","how do",2833
"786","make me",2830
"787","to sleep",2827
"788","are going",2826
"789","thats what",2825
"790","top of",2825
"791","find a",2822
"792","know if",2822
"793","the morning",2821
"794","am not",2819
"795","day and",2817
"796","the good",2816
"797","that my",2807
"798","a way",2803
"799","i say",2802
"800","much more",2800
"801","based on",2796
"802","in which",2796
"803","thats a",2793
"804","and was",2791
"805","to show",2790
"806","it with",2787
"807","so you",2782
"808","i couldnt",2781
"809","to eat",2781
"810","made it",2779
"811","day i",2778
"812","side of",2770
"813","you i",2763
"814","the back",2757
"815","your life",2754
"816","see what",2752
"817","it seems",2750
"818","we dont",2746
"819","to learn",2744
"820","and your",2735
"821","is also",2733
"822","is your",2733
"823","not have",2732
"824","sure to",2726
"825","so excited",2718
"826","the great",2718
"827","and there",2713
"828","im just",2708
"829","happy to",2702
"830","may have",2700
"831","for his",2692
"832","in front",2691
"833","to buy",2691
"834","because they",2690
"835","for those",2690
"836","for more",2682
"837","it doesnt",2682
"838","did i",2677
"839","i might",2677
"840","i wanna",2677
"841","it just",2675
"842","at work",2674
"843","as he",2671
"844","out on",2670
"845","today is",2670
"846","now that",2669
"847","interested in",2668
"848","of time",2667
"849","and some",2664
"850","rt i",2663
"851","for their",2661
"852","take the",2656
"853","got the",2654
"854","i believe",2654
"855","that has",2652
"856","are all",2650
"857","made a",2650
"858","back and",2649
"859","every day",2644
"860","they dont",2642
"861","to that",2642
"862","thinking about",2635
"863","a chance",2634
"864","you may",2628
"865","only one",2627
"866","for following",2623
"867","no longer",2623
"868","with us",2617
"869","but if",2615
"870","no matter",2615
"871","a wonderful",2611
"872","them and",2611
"873","because the",2590
"874","about how",2588
"875","its just",2588
"876","she has",2587
"877","to their",2587
"878","and her",2586
"879","just like",2585
"880","it the",2583
"881","against the",2582
"882","in all",2582
"883","social media",2581
"884","what to",2573
"885","to stay",2567
"886","a bad",2566
"887","who has",2565
"888","the old",2564
"889","the sun",2561
"890","see it",2557
"891","made me",2553
"892","that im",2550
"893","on her",2545
"894","where you",2545
"895","come on",2544
"896","dont like",2544
"897","i felt",2535
"898","not just",2535
"899","a whole",2533
"900","like you",2533
"901","order to",2533
"902","while i",2531
"903","an hour",2529
"904","things that",2529
"905","dont get",2528
"906","them in",2528
"907","is all",2526
"908","i started",2525
"909","out with",2522
"910","as if",2521
"911","do a",2516
"912","and when",2513
"913","and their",2512
"914","but that",2510
"915","at am",2506
"916","much as",2497
"917","a better",2495
"918","every time",2492
"919","who have",2490
"920","for them",2489
"921","looking at",2480
"922","close to",2477
"923","time in",2475
"924","we got",2475
"925","a friend",2470
"926","just as",2470
"927","me on",2468
"928","hope to",2467
"929","think it",2460
"930","the idea",2451
"931","how you",2450
"932","they had",2450
"933","do this",2449
"934","next to",2446
"935","watching the",2441
"936","sounds like",2438
"937","the entire",2433
"938","to create",2430
"939","to change",2427
"940","is like",2425
"941","amount of",2424
"942","long time",2424
"943","to him",2424
"944","i wonder",2422
"945","the man",2420
"946","have some",2418
"947","the state",2416
"948","until the",2412
"949","find out",2410
"950","to an",2406
"951","a book",2402
"952","between the",2401
"953","less than",2400
"954","was an",2400
"955","and will",2398
"956","the weekend",2397
"957","the truth",2396
"958","to bring",2396
"959","of being",2395
"960","and even",2394
"961","nice to",2391
"962","the real",2391
"963","the road",2391
"964","a real",2378
"965","me too",2376
"966","i decided",2374
"967","have any",2371
"968","said that",2370
"969","people in",2369
"970","to let",2364
"971","i find",2356
"972","the lord",2355
"973","in to",2353
"974","piece of",2353
"975","to check",2353
"976","i remember",2352
"977","think its",2352
"978","lol i",2351
"979","the very",2350
"980","to leave",2342
"981","i go",2341
"982","how the",2338
"983","the movie",2338
"984","im gonna",2337
"985","a beautiful",2336
"986","know you",2335
"987","it as",2331
"988","with their",2329
"989","to them",2326
"990","is very",2324
"991","we should",2324
"992","that its",2320
"993","is there",2319
"994","we could",2317
"995","him and",2314
"996","how are",2312
"997","it wasnt",2311
"998","the week",2311
"999","welcome to",2310
"1000","you love",2309
"1001","has the",2308
"1002","so the",2308
"1003","love that",2306
"1004","but this",2304
"1005","of life",2304
"1006","sense of",2301
"1007","get my",2297
"1008","so it",2295
"1009","you on",2295
"1010","go back",2292
"1011","and just",2291
"1012","and see",2291
"1013","when she",2291
"1014","so good",2290
"1015","and as",2288
"1016","the door",2287
"1017","i wont",2286
"1018","at me",2281
"1019","me up",2278
"1020","the worst",2272
"1021","all about",2270
"1022","its all",2270
"1023","though i",2268
"1024","what was",2262
"1025","more of",2261
"1026","great day",2259
"1027","just to",2257
"1028","and make",2256
"1029","much of",2253
"1030","if u",2251
"1031","much for",2249
"1032","about that",2245
"1033","the country",2245
"1034","the rt",2245
"1035","came to",2244
"1036","now and",2244
"1037","i wasnt",2238
"1038","is about",2237
"1039","she said",2236
"1040","up at",2236
"1041","comes to",2232
"1042","lets go",2225
"1043","with them",2225
"1044","that in",2224
"1045","am so",2223
"1046","it comes",2222
"1047","not even",2221
"1048","out a",2220
"1049","back on",2218
"1050","see a",2216
"1051","no idea",2215
"1052","you had",2214
"1053","i took",2211
"1054","you got",2211
"1055","the things",2210
"1056","wont be",2209
"1057","of its",2208
"1058","think the",2208
"1059","me for",2207
"1060","thats the",2206
"1061","why do",2198
"1062","day in",2195
"1063","he would",2195
"1064","next time",2194
"1065","my phone",2193
"1066","is more",2192
"1067","who was",2190
"1068","in some",2188
"1069","life and",2186
"1070","the car",2185
"1071","easy to",2183
"1072","his own",2181
"1073","coming to",2180
"1074","lack of",2180
"1075","the point",2179
"1076","it can",2178
"1077","she had",2178
"1078","you go",2178
"1079","an amazing",2177
"1080","after all",2175
"1081","year old",2172
"1082","be an",2169
"1083","give me",2169
"1084","know it",2169
"1085","you the",2169
"1086","to bed",2168
"1087","use the",2167
"1088","see how",2166
"1089","will never",2165
"1090","but in",2163
"1091","is good",2161
"1092","come back",2157
"1093","we get",2157
"1094","work on",2154
"1095","dont forget",2148
"1096","love and",2148
"1097","follow back",2147
"1098","get out",2147
"1099","on and",2146
"1100","since the",2145
"1101","same time",2144
"1102","people to",2142
"1103","the moment",2141
"1104","be at",2139
"1105","my way",2138
"1106","you might",2137
"1107","but a",2136
"1108","said the",2135
"1109","than i",2133
"1110","they do",2133
"1111","be sure",2123
"1112","i may",2123
"1113","some people",2122
"1114","here and",2121
"1115","let us",2119
"1116","long as",2119
"1117","of god",2114
"1118","get your",2112
"1119","may not",2112
"1120","im still",2110
"1121","not in",2110
"1122","to us",2110
"1123","continue to",2109
"1124","not going",2109
"1125","way of",2106
"1126","you feel",2106
"1127","for years",2104
"1128","get back",2101
"1129","we love",2101
"1130","with him",2096
"1131","one thing",2095
"1132","even more",2094
"1133","its time",2093
"1134","about you",2090
"1135","something to",2088
"1136","can make",2085
