"","names","total"
"1","thanks for the",11988
"2","one of the",10709
"3","a lot of",9517
"4","to be a",6609
"5","i want to",6596
"6","going to be",6306
"7","i have a",5376
"8","looking forward to",5203
"9","i have to",5160
"10","it was a",5053
"11","thank you for",5027
"12","the end of",4818
"13","i dont know",4794
"14","cant wait to",4757
"15","out of the",4660
"16","be able to",4590
"17","i love you",4511
"18","im going to",4454
"19","i need to",4415
"20","some of the",4253
"21","the rest of",4104
"22","as well as",4027
"23","one of my",3989
"24","for the follow",3923
"25","you want to",3863
"26","is going to",3856
"27","a couple of",3703
"28","there is a",3624
"29","this is a",3607
"30","to go to",3510
"31","part of the",3505
"32","the fact that",3496
"33","in the world",3412
"34","you have to",3410
"35","this is the",3315
"36","you have a",3301
"37","it is a",3222
"38","if you are",3193
"39","the first time",3170
"40","have a great",3147
"41","i have been",3142
"42","i think i",3133
"43","i had a",3101
"44","i had to",3068
"45","it would be",3067
"46","end of the",3043
"47","to have a",2983
"48","there is no",2892
"49","all of the",2880
"50","i will be",2875
"51","i dont think",2873
"52","of the day",2849
"53","to see you",2838
"54","i wanted to",2775
"55","let me know",2772
"56","when i was",2765
"57","i feel like",2743
"58","at the end",2731
"59","is one of",2717
"60","dont want to",2648
"61","if you have",2627
"62","i am not",2625
"63","if you want",2593
"64","to see the",2541
"65","in front of",2535
"66","i cant wait",2511
"67","to be the",2450
"68","for the first",2440
"69","in order to",2431
"70","i wish i",2423
"71","it will be",2409
"72","want to be",2401
"73","back to the",2394
"74","to make a",2393
"75","rest of the",2386
"76","you need to",2375
"77","what do you",2341
"78","most of the",2340
"79","a bit of",2332
"80","one of those",2309
"81","if you dont",2308
"82","i dont have",2281
"83","would like to",2244
"84","to do with",2239
"85","to get a",2225
"86","was going to",2209
"87","would love to",2180
"88","as much as",2174
"89","for the rt",2126
"90","all the time",2097
"91","in the morning",2086
"92","at the same",2085
"93","do you think",2084
"94","we need to",2082
"95","go to the",2071
"96","have to be",2063
"97","and i have",2058
"98","are going to",2038
"99","i am so",2031
"100","the same time",2021
"101","i hope you",2017
"102","i love the",2005
"103","so i can",1989
"104","that i have",1982
"105","in the middle",1979
"106","i know i",1974
"107","there was a",1973
"108","to make it",1968
"109","i dont want",1960
"110","i have no",1949
"111","you so much",1930
"112","and it was",1925
"113","do you have",1916
"114","of the year",1913
"115","wait to see",1899
"116","cant wait for",1890
"117","of the most",1887
"118","and i am",1877
"119","look forward to",1868
"120","as long as",1866
"121","in my life",1848
"122","we have a",1838
"123","i am a",1828
"124","to be in",1824
"125","thanks for following",1816
"126","that i am",1816
"127","a great day",1785
"128","for me to",1785
"129","need to be",1774
"130","you for the",1764
"131","a long time",1756
"132","a little bit",1741
"133","i was a",1739
"134","had a great",1730
"135","not going to",1726
"136","the middle of",1724
"137","it is the",1723
"138","how are you",1719
"139","it was the",1718
"140","to get the",1708
"141","so much for",1698
"142","happy mothers day",1694
"143","is the best",1689
"144","to take a",1659
"145","to do it",1658
"146","and i was",1657
"147","it is not",1645
"148","i decided to",1637
"149","i would have",1633
"150","in love with",1630
"151","that would be",1618
"152","in the first",1613
"153","when it comes",1609
"154","is not a",1605
"155","dont have to",1601
"156","thanks so much",1601
"157","wish i could",1601
"158","for a while",1599
"159","will be a",1598
"160","of the world",1595
"161","what are you",1588
"162","check it out",1580
"163","of the best",1576
"164","how do you",1575
"165","looking for a",1575
"166","i was in",1568
"167","a bunch of",1563
"168","on the other",1562
"169","be sure to",1556
"170","i need a",1555
"171","i used to",1552
"172","i love it",1547
